;Line;Location;Type;Date;Due Date;Past Due
644;203;P10;Process TDU;2016-06-04 00:00:00.000;2020-05-14 00:00:00.000;-109 days +00:00:00.000000000
646;202;P13;Process TDU;2016-05-22 00:00:00.000;2020-05-01 00:00:00.000;-122 days +00:00:00.000000000
647;201;P7;Process TDU;2016-05-27 00:00:00.000;2020-05-06 00:00:00.000;-117 days +00:00:00.000000000
648;201;P21;Process TDU;2016-05-27 00:00:00.000;2020-05-06 00:00:00.000;-117 days +00:00:00.000000000
651;201;P22;Process TDU;2016-06-17 00:00:00.000;2020-05-27 00:00:00.000;-96 days +00:00:00.000000000
652;204;P16;Process TDU;2016-06-21 00:00:00.000;2020-05-31 00:00:00.000;-92 days +00:00:00.000000000
653;204;P6;Process TDU;2016-07-12 00:00:00.000;2020-06-21 00:00:00.000;-71 days +00:00:00.000000000
654;202;P15;Process TDU;2016-07-15 00:00:00.000;2020-06-24 00:00:00.000;-68 days +00:00:00.000000000
655;208;P7;Process TDU;2016-08-04 00:00:00.000;2020-07-14 00:00:00.000;-48 days +00:00:00.000000000
656;209;C2;Corner TDU;2016-08-05 00:00:00.000;2020-07-15 00:00:00.000;-47 days +00:00:00.000000000
657;205;P25;Process TDU;2016-08-11 00:00:00.000;2020-07-21 00:00:00.000;-41 days +00:00:00.000000000
658;205;LD;Process TDU;2016-08-11 00:00:00.000;2020-07-21 00:00:00.000;-41 days +00:00:00.000000000
659;209;P9;Process TDU;2016-08-17 00:00:00.000;2020-07-27 00:00:00.000;-35 days +00:00:00.000000000
660;209;P16;Process TDU;2016-08-17 00:00:00.000;2020-07-27 00:00:00.000;-35 days +00:00:00.000000000
661;209;P19;Process TDU;2016-09-03 00:00:00.000;2020-08-13 00:00:00.000;-18 days +00:00:00.000000000
662;205;P11;Process TDU;2016-09-10 00:00:00.000;2020-08-20 00:00:00.000;-11 days +00:00:00.000000000
852;201;All;Carrier Force;2020-03-07 00:00:00.000;2020-06-05 00:00:00.000;-87 days +00:00:00.000000000
855;204;All;Carrier Force;2020-02-19 00:00:00.000;2020-05-19 00:00:00.000;-104 days +00:00:00.000000000
856;205;All;Carrier Force;2020-01-09 00:00:00.000;2020-04-08 00:00:00.000;-145 days +00:00:00.000000000
858;209;All;Carrier Force;2020-05-25 00:00:00.000;2020-08-23 00:00:00.000;-8 days +00:00:00.000000000
860;211;All;Carrier Force;2019-09-15 00:00:00.000;2019-12-14 00:00:00.000;-261 days +00:00:00.000000000
863;211;126;ULD PP;2017-09-09 00:00:00.000;2019-08-30 00:00:00.000;-367 days +00:00:00.000000000
866;201;15;Robot Batteries;2017-04-19 00:00:00.000;2019-04-09 00:00:00.000;-510 days +00:00:00.000000000
867;201;17;ULD PP;2018-05-20 00:00:00.000;2020-05-09 00:00:00.000;-114 days +00:00:00.000000000
