;Line;Location;Type;Date;Due Date;Past Due
1080;209;P23;Cryopump;2018-08-28 00:00:00.000;2020-06-18 00:00:00.000;-72 days +00:00:00.000000000
1081;209;P24;Cryopump;2018-08-28 00:00:00.000;2020-06-18 00:00:00.000;-72 days +00:00:00.000000000
1082;209;P9;Cryopump;2018-10-11 00:00:00.000;2020-08-01 00:00:00.000;-28 days +00:00:00.000000000
1083;209;P15;Cryopump;2018-10-11 00:00:00.000;2020-08-01 00:00:00.000;-28 days +00:00:00.000000000
1084;209;P12;Cryopump;2018-11-01 00:00:00.000;2020-08-22 00:00:00.000;-7 days +00:00:00.000000000
1085;209;P8;Cryopump;2018-11-14 00:00:00.000;2020-09-04 00:00:00.000;6 days 00:00:00.000000000
1086;209;P19;Cryopump;2018-12-25 00:00:00.000;2020-10-15 00:00:00.000;47 days 00:00:00.000000000
1087;209;P1;Cryopump;2019-01-16 00:00:00.000;2020-11-06 00:00:00.000;69 days 00:00:00.000000000
1088;209;P13;Cryopump;2019-01-16 00:00:00.000;2020-11-06 00:00:00.000;69 days 00:00:00.000000000
1089;209;P7;Cryopump;2019-03-18 00:00:00.000;2021-01-06 00:00:00.000;130 days 00:00:00.000000000
1090;209;P6;Cryopump;2019-06-08 00:00:00.000;2021-03-29 00:00:00.000;212 days 00:00:00.000000000
1091;209;P16;Cryopump;2019-06-08 00:00:00.000;2021-03-29 00:00:00.000;212 days 00:00:00.000000000
1092;209;P14;Cryopump;2019-07-03 00:00:00.000;2021-04-23 00:00:00.000;237 days 00:00:00.000000000
1093;209;P2;Cryopump;2019-08-28 00:00:00.000;2021-06-18 00:00:00.000;293 days 00:00:00.000000000
1094;209;P3;Cryopump;2019-08-28 00:00:00.000;2021-06-18 00:00:00.000;293 days 00:00:00.000000000
1095;209;P22;Cryopump;2019-12-28 00:00:00.000;2021-10-18 00:00:00.000;415 days 00:00:00.000000000
1096;209;P18;Cryopump;2020-02-13 00:00:00.000;2021-12-04 00:00:00.000;462 days 00:00:00.000000000
1097;209;P10;Cryopump;2020-03-13 00:00:00.000;2022-01-02 00:00:00.000;491 days 00:00:00.000000000
1098;209;P11;Cryopump;2020-05-25 00:00:00.000;2022-03-16 00:00:00.000;564 days 00:00:00.000000000
1099;211;P1;Cryopump;2018-02-10 00:00:00.000;2019-12-02 00:00:00.000;-271 days +00:00:00.000000000
1100;211;P2;Cryopump;2019-10-18 00:00:00.000;2021-08-08 00:00:00.000;344 days 00:00:00.000000000
1101;211;P3;Cryopump;2019-08-26 00:00:00.000;2021-06-16 00:00:00.000;291 days 00:00:00.000000000
1102;211;P4;Cryopump;2018-05-15 00:00:00.000;2020-03-05 00:00:00.000;-177 days +00:00:00.000000000
1103;211;P5;Cryopump;2019-07-03 00:00:00.000;2021-04-23 00:00:00.000;237 days 00:00:00.000000000
1104;211;P6;Cryopump;2019-08-15 00:00:00.000;2021-06-05 00:00:00.000;280 days 00:00:00.000000000
1105;211;P7;Cryopump;2019-01-31 00:00:00.000;2020-11-21 00:00:00.000;84 days 00:00:00.000000000
1106;211;P8;Cryopump;2019-08-15 00:00:00.000;2021-06-05 00:00:00.000;280 days 00:00:00.000000000
1107;211;P9;Cryopump;2019-08-15 00:00:00.000;2021-06-05 00:00:00.000;280 days 00:00:00.000000000
1108;211;P10;Cryopump;2018-09-24 00:00:00.000;2020-07-15 00:00:00.000;-45 days +00:00:00.000000000
1109;211;P11;Cryopump;2019-09-15 00:00:00.000;2021-07-06 00:00:00.000;311 days 00:00:00.000000000
1110;211;P12;Cryopump;2018-09-24 00:00:00.000;2020-07-15 00:00:00.000;-45 days +00:00:00.000000000
1111;211;P13;Cryopump;2019-05-15 00:00:00.000;2021-03-05 00:00:00.000;188 days 00:00:00.000000000
1112;211;P14;Cryopump;2019-06-02 00:00:00.000;2021-03-23 00:00:00.000;206 days 00:00:00.000000000
1113;211;P15;Cryopump;2019-06-02 00:00:00.000;2021-03-23 00:00:00.000;206 days 00:00:00.000000000
1114;211;P16;Cryopump;2019-05-15 00:00:00.000;2021-03-05 00:00:00.000;188 days 00:00:00.000000000
1115;211;P17;Cryopump;2019-10-18 00:00:00.000;2021-08-08 00:00:00.000;344 days 00:00:00.000000000
1116;211;P18;Cryopump;2018-12-06 00:00:00.000;2020-09-26 00:00:00.000;28 days 00:00:00.000000000
1117;211;P19;Cryopump;2018-01-25 00:00:00.000;2019-11-16 00:00:00.000;-287 days +00:00:00.000000000
1118;211;P21;Cryopump;2018-09-24 00:00:00.000;2020-07-15 00:00:00.000;-45 days +00:00:00.000000000
1119;211;P20;Cryopump;2019-12-21 00:00:00.000;2021-10-11 00:00:00.000;408 days 00:00:00.000000000
1120;211;P22;Cryopump;2018-09-24 00:00:00.000;2020-07-15 00:00:00.000;-45 days +00:00:00.000000000
1121;211;P23;Cryopump;2018-09-24 00:00:00.000;2020-07-15 00:00:00.000;-45 days +00:00:00.000000000
1122;208;P8;Cryopump;2020-08-04 00:00:00.000;2022-05-26 00:00:00.000;635 days 00:00:00.000000000
1123;205;P17;Cryopump;2020-05-21 00:00:00.000;2022-03-12 00:00:00.000;560 days 00:00:00.000000000
1124;209;P21;Cryopump;2020-05-25 00:00:00.000;2022-03-16 00:00:00.000;564 days 00:00:00.000000000
1125;208;P15;Cryopump;2020-08-04 00:00:00.000;2022-05-26 00:00:00.000;635 days 00:00:00.000000000
1126;202;P11;Cryopump;2020-06-17 00:00:00.000;2022-04-08 00:00:00.000;587 days 00:00:00.000000000
1127;210;P14;Cryopump;2018-08-20 00:00:00.000;2020-06-10 00:00:00.000;-80 days +00:00:00.000000000
1128;210;P6;Cryopump;2018-09-09 00:00:00.000;2020-06-30 00:00:00.000;-60 days +00:00:00.000000000
1129;210;P23;Cryopump;2018-12-03 00:00:00.000;2020-09-23 00:00:00.000;25 days 00:00:00.000000000
1130;210;P1;Cryopump;2018-12-21 00:00:00.000;2020-10-11 00:00:00.000;43 days 00:00:00.000000000
1131;210;P2;Cryopump;2019-02-02 00:00:00.000;2020-11-23 00:00:00.000;86 days 00:00:00.000000000
1132;210;P22;Cryopump;2019-02-02 00:00:00.000;2020-11-23 00:00:00.000;86 days 00:00:00.000000000
1133;210;P17;Cryopump;2019-04-18 00:00:00.000;2021-02-06 00:00:00.000;161 days 00:00:00.000000000
1134;210;P20;Cryopump;2019-04-30 00:00:00.000;2021-02-18 00:00:00.000;173 days 00:00:00.000000000
1135;210;P10;Cryopump;2019-07-04 00:00:00.000;2021-04-24 00:00:00.000;238 days 00:00:00.000000000
1136;210;P13;Cryopump;2019-07-04 00:00:00.000;2021-04-24 00:00:00.000;238 days 00:00:00.000000000
1137;210;P15;Cryopump;2019-09-17 00:00:00.000;2021-07-08 00:00:00.000;313 days 00:00:00.000000000
